Syntax,OpCode,Funct,err,RegDst,SESel,RegWrite,DMemWrite,DMemEn,ALUSrc2,PCSrc,MemToReg,DMemDump,Jump,PCImm,,
HALT,00000,,0,xx,xxx,0,0,0,0,0,0,1,0,0,,
NOP,00001,,0,xx,xxx,0,0,0,0,0,0,0,0,0,,
siic Rs,00010,,0,xx,xxx,0,0,0,0,0,0,0,0,0,,
NOP/RTI,00011,,0,xx,xxx,0,0,0,0,0,0,0,0,0,,
J,00100,,0,xx,11x,0,0,0,0,1,0,0,0,1,,
JR,00101,,0,xx,10x,0,0,0,0,1,0,0,1,0,,
JAL,00110,,0,11,11x,1,0,0,0,1,0,0,0,1,,
JALR,00111,,0,11,10x,1,0,0,0,1,0,0,1,0,,
SUBI,01000,,0,01,01x,1,0,0,0,0,0,0,0,0,,
ADDI,01001,,0,01,01x,1,0,0,0,0,0,0,0,0,,
ANDNI,01010,,0,01,xx0,1,0,0,0,0,0,0,0,0,,
XORI,01011,,0,01,xx0,1,0,0,0,0,0,0,0,0,,
BNEZ,01100,,0,xx,10x,0,0,0,0,1,0,0,0,0,,
BEQZ,01101,,0,xx,10x,0,0,0,0,1,0,0,0,0,,
BLTZ,01110,,0,xx,10x,0,0,0,0,1,0,0,0,0,,
BGEZ,01111,,0,xx,10x,0,0,0,0,1,0,0,0,0,,
ST,10000,,0,xx,01x,0,1,1,0,0,0,0,0,0,,
LD,10001,,0,xx,01x,1,0,1,0,0,1,0,0,0,,
SLBI,10010,,0,10,xx1,1,0,0,0,0,0,0,0,0,,
STU,10011,,0,10,01x,1,1,1,0,0,0,0,0,0,,
ROLI,10100,,0,xx,xx0,1,0,0,0,0,0,0,0,0,,
SLLI,10101,,0,xx,xx0,1,0,0,0,0,0,0,0,0,,
RORI,10110,,0,xx,xx0,1,0,0,0,0,0,0,0,0,,
SRLI,10111,,0,xx,xx0,1,0,0,0,0,0,0,0,0,,
LBI,11000,,0,10,10x,1,0,0,0,0,0,0,0,0,,
BTR,11001,,0,xx,xxx,1,0,0,0,0,0,0,0,0,,
ROL,11010,00,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SLL,11010,01,0,00,xxx,1,0,0,1,0,0,0,0,0,,
ROR,11010,10,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SRL,11010,11,0,00,xxx,1,0,0,1,0,0,0,0,0,,
ADD,11011,00,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SUB,11011,01,0,00,xxx,1,0,0,1,0,0,0,0,0,,
XOR,11011,10,0,00,xxx,1,0,0,1,0,0,0,0,0,,
ANDN,11011,11,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SEQ,11100,,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SLT,11101,,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SLE,11110,,0,00,xxx,1,0,0,1,0,0,0,0,0,,
SCO,11111,,0,00,xxx,1,0,0,1,0,0,0,0,0,,
